oid,time,magnitude,error,band
QSO_58.457166+1.067889,55236.63797800003,19.304,0.383,W1
QSO_58.457166+1.067889,55236.770181,19.019,,W1
QSO_58.457166+1.067889,55236.90238399997,18.842,,W1
QSO_58.457166+1.067889,55236.96855850002,19.715,0.487,W1
QSO_58.457166+1.067889,55237.03462349997,18.745,0.236,W1
QSO_58.457166+1.067889,55237.03473299998,18.961,0.275,W1
QSO_58.457166+1.067889,55237.10079800002,19.11,,W1
QSO_58.457166+1.067889,55237.16693600004,19.094,0.324,W1
QSO_58.457166+1.067889,55237.23300099999,18.737,0.225,W1
QSO_58.457166+1.067889,55237.36535,19.384,0.384,W1
QSO_58.457166+1.067889,55237.49755299997,19.5,0.475,W1
QSO_58.457166+1.067889,55237.62975600003,18.996,,W1
QSO_58.457166+1.067889,55426.7398695,19.248,,W1
QSO_58.457166+1.067889,55426.872072499966,18.967,,W1
QSO_58.457166+1.067889,55427.004275500025,18.962000000000003,0.281,W1
QSO_58.457166+1.067889,55427.1364785,18.548,0.183,W1
QSO_58.457166+1.067889,55427.20265300005,18.941000000000003,0.306,W1
QSO_58.457166+1.067889,55427.33474650001,18.973,,W1
QSO_58.457166+1.067889,55427.40092099997,19.473,0.431,W1
QSO_58.457166+1.067889,55427.466986000014,18.638,0.207,W1
QSO_58.457166+1.067889,55427.59918899999,19.129,,W1
QSO_58.457166+1.067889,55427.73139199996,18.991,,W1
QSO_58.457166+1.067889,55427.86363149996,19.551,,W1
QSO_58.457166+1.067889,56701.91891700002,18.762,0.252,W1
QSO_58.457166+1.067889,56891.95992649999,18.723,0.468,W1
QSO_58.457166+1.067889,56891.96003599999,18.766,0.272,W1
QSO_58.457166+1.067889,56892.28860899997,19.189,,W1
QSO_58.457166+1.067889,56892.35438200003,19.103,0.325,W1
QSO_58.457166+1.067889,57060.16163667838,18.754,0.216,W1
QSO_58.457166+1.067889,57060.55547169091,18.53,0.177,W1
QSO_58.457166+1.067889,57061.27751471379,19.0,0.319,W1
QSO_58.457166+1.067889,57254.21293225767,19.142000000000003,0.358,W1
QSO_58.457166+1.067889,57419.93265920982,18.578,0.295,W1
QSO_58.457166+1.067889,57420.12982341601,19.688,,W1
QSO_58.457166+1.067889,57618.66400429434,18.239,,W1
QSO_58.457166+1.067889,57784.47352149998,19.074,0.372,W1
QSO_58.457166+1.067889,57784.539039,19.421,0.447,W1
QSO_58.457166+1.067889,57784.60444700002,19.061,,W1
QSO_58.457166+1.067889,57784.800817000025,18.89,0.262,W1
QSO_58.457166+1.067889,57985.32345849999,19.193,,W1
QSO_58.457166+1.067889,57985.65046199996,18.873,0.299,W1
QSO_58.457166+1.067889,58141.89557400001,19.011000000000003,0.279,W1
QSO_58.457166+1.067889,58507.77650149996,18.934,,W1
QSO_58.457166+1.067889,58508.03802400002,19.454,0.407,W1
QSO_58.457166+1.067889,58508.16883999998,18.914,0.254,W1
QSO_58.457166+1.067889,58508.49573400003,19.157,,W1
QSO_58.457166+1.067889,58713.02348400002,18.703000000000003,0.236,W1
QSO_58.457166+1.067889,58713.28496999998,18.128,0.198,W1
QSO_58.457166+1.067889,58713.41567650001,19.341,0.53,W1
QSO_58.457166+1.067889,58872.286859800006,18.896,0.493,W1
QSO_58.457166+1.067889,58872.41803420004,18.898000000000003,0.262,W1
QSO_58.457166+1.067889,58872.8111548,18.344,0.23,W1
QSO_58.457166+1.067889,59081.043341199984,18.887,0.309,W1
QSO_58.457166+1.067889,59240.35392200004,19.172,0.379,W1
QSO_58.457166+1.067889,59603.807964500025,19.361,0.382,W1
QSO_58.457166+1.067889,59604.003787,18.986,0.395,W1
QSO_58.457166+1.067889,59604.1343475,18.604,0.237,W1
QSO_58.457166+1.067889,59604.264908000005,18.753,0.23,W1
QSO_58.457166+1.067889,59808.97950149999,18.613,0.351,W1
QSO_58.457166+1.067889,59812.04316550002,18.701,0.227,W1
QSO_58.457166+1.067889,59967.52316450003,18.873,0.265,W1
QSO_58.457166+1.067889,59968.04361800001,19.157,0.325,W1
QSO_58.457166+1.067889,59968.238820000006,18.879,0.297,W1
QSO_58.457166+1.067889,60334.340317600014,18.984,,W1
QSO_58.457166+1.067889,55236.63797800003,18.932,,W2
QSO_58.457166+1.067889,55236.770181,18.826,0.51,W2
QSO_58.457166+1.067889,55236.90238399997,18.92,,W2
QSO_58.457166+1.067889,55236.96855850002,18.23,,W2
QSO_58.457166+1.067889,55237.03462349997,18.722,,W2
QSO_58.457166+1.067889,55237.03473299998,18.287,0.352,W2
QSO_58.457166+1.067889,55237.10079800002,18.234,,W2
QSO_58.457166+1.067889,55237.16693600004,18.946,0.517,W2
QSO_58.457166+1.067889,55237.23300099999,18.892,0.52,W2
QSO_58.457166+1.067889,55237.36535,18.843,,W2
QSO_58.457166+1.067889,55237.49755299997,18.653,,W2
QSO_58.457166+1.067889,55237.62975600003,18.84,,W2
QSO_58.457166+1.067889,55426.7398695,18.292,,W2
QSO_58.457166+1.067889,55426.872072499966,18.608,0.414,W2
QSO_58.457166+1.067889,55427.004275500025,18.361,,W2
QSO_58.457166+1.067889,55427.1364785,18.538,,W2
QSO_58.457166+1.067889,55427.20265300005,18.768,,W2
QSO_58.457166+1.067889,55427.33474650001,18.305,,W2
QSO_58.457166+1.067889,55427.40092099997,18.829,,W2
QSO_58.457166+1.067889,55427.466986000014,18.201,,W2
QSO_58.457166+1.067889,55427.59918899999,18.977,,W2
QSO_58.457166+1.067889,55427.73139199996,18.597,,W2
QSO_58.457166+1.067889,55427.86363149996,18.343,,W2
QSO_58.457166+1.067889,56701.91891700002,18.824,0.539,W2
QSO_58.457166+1.067889,56891.95992649999,18.148,,W2
QSO_58.457166+1.067889,56891.96003599999,18.437,,W2
QSO_58.457166+1.067889,56892.28860899997,17.8,0.461,W2
QSO_58.457166+1.067889,56892.35438200003,18.642,,W2
QSO_58.457166+1.067889,57060.16163667838,18.493,0.435,W2
QSO_58.457166+1.067889,57060.55547169091,18.282,,W2
QSO_58.457166+1.067889,57061.27751471379,18.897,,W2
QSO_58.457166+1.067889,57254.21293225767,18.284,0.364,W2
QSO_58.457166+1.067889,57419.93265920982,18.192,,W2
QSO_58.457166+1.067889,57420.12982341601,17.887999999999998,0.286,W2
QSO_58.457166+1.067889,57618.66400429434,18.749,,W2
QSO_58.457166+1.067889,57784.47352149998,18.543,,W2
QSO_58.457166+1.067889,57784.539039,18.172,0.397,W2
QSO_58.457166+1.067889,57784.60444700002,17.947,0.373,W2
QSO_58.457166+1.067889,57784.800817000025,18.135,,W2
QSO_58.457166+1.067889,57985.32345849999,17.794,0.292,W2
QSO_58.457166+1.067889,57985.65046199996,18.088,,W2
QSO_58.457166+1.067889,58141.89557400001,18.076,,W2
QSO_58.457166+1.067889,58507.77650149996,17.707,0.301,W2
QSO_58.457166+1.067889,58508.03802400002,18.624,,W2
QSO_58.457166+1.067889,58508.16883999998,18.061,0.313,W2
QSO_58.457166+1.067889,58508.49573400003,17.592,0.4,W2
QSO_58.457166+1.067889,58713.02348400002,17.766,,W2
QSO_58.457166+1.067889,58713.28496999998,18.283,,W2
QSO_58.457166+1.067889,58713.41567650001,18.427,,W2
QSO_58.457166+1.067889,58872.286859800006,18.511,,W2
QSO_58.457166+1.067889,58872.41803420004,18.168,,W2
QSO_58.457166+1.067889,58872.8111548,18.848,0.541,W2
QSO_58.457166+1.067889,59081.043341199984,18.389,,W2
QSO_58.457166+1.067889,59240.35392200004,17.820999999999998,,W2
QSO_58.457166+1.067889,59603.807964500025,17.572,,W2
QSO_58.457166+1.067889,59604.003787,18.332,,W2
QSO_58.457166+1.067889,59604.1343475,18.03,,W2
QSO_58.457166+1.067889,59604.264908000005,18.744,,W2
QSO_58.457166+1.067889,59808.97950149999,18.18,,W2
QSO_58.457166+1.067889,59812.04316550002,17.908,0.35,W2
QSO_58.457166+1.067889,59967.52316450003,17.736,,W2
QSO_58.457166+1.067889,59968.04361800001,18.23,,W2
QSO_58.457166+1.067889,59968.238820000006,18.44,,W2
QSO_58.457166+1.067889,60334.340317600014,17.482,0.41,W2
QSO_58.8374131+1.4877975,55237.59674175002,18.8225,0.0572809030292981,W1
QSO_58.8374131+1.4877975,55427.83047125,18.8,0.0896773021367088,W1
