oid,time,magnitude,error,band
QSO_176.776708-1.166167,55359.47715850003,18.283,0.156,W1
QSO_176.776708-1.166167,55359.6093615,18.786,0.245,W1
QSO_176.776708-1.166167,55359.74156449997,18.731,0.218,W1
QSO_176.776708-1.166167,55359.87380399997,19.088,0.309,W1
QSO_176.776708-1.166167,55359.93997850001,19.17,0.335,W1
QSO_176.776708-1.166167,55360.006007000025,19.461,0.437,W1
QSO_176.776708-1.166167,55360.07218149999,18.752,0.236,W1
QSO_176.776708-1.166167,55360.138210000005,19.005000000000003,0.297,W1
QSO_176.776708-1.166167,55360.204384499964,18.71,0.262,W1
QSO_176.776708-1.166167,55360.336587500016,19.363,0.435,W1
QSO_176.776708-1.166167,55360.46868099999,19.096,0.317,W1
QSO_176.776708-1.166167,55360.46882700002,18.811,0.254,W1
QSO_176.776708-1.166167,55548.47547250002,18.86,0.258,W1
QSO_176.776708-1.166167,55548.607565999984,18.926,0.287,W1
QSO_176.776708-1.166167,55548.73980549999,19.354,,W1
QSO_176.776708-1.166167,55548.87200849996,18.477,0.191,W1
QSO_176.776708-1.166167,55548.93803699997,19.125,0.362,W1
QSO_176.776708-1.166167,55549.00410200001,19.297,0.428,W1
QSO_176.776708-1.166167,55549.00421150002,18.9,0.276,W1
QSO_176.776708-1.166167,55549.07027649997,19.122,0.345,W1
QSO_176.776708-1.166167,55549.2023335,19.274,0.369,W1
QSO_176.776708-1.166167,55549.20247950003,18.866,0.291,W1
QSO_176.776708-1.166167,55549.334573,18.831000000000003,0.326,W1
QSO_176.776708-1.166167,55549.46677599997,19.265,0.368,W1
QSO_176.776708-1.166167,56647.57490649996,18.661,0.229,W1
QSO_176.776708-1.166167,56647.70659850002,18.208,0.202,W1
QSO_176.776708-1.166167,56647.77251750003,19.195,0.363,W1
QSO_176.776708-1.166167,56824.40718649999,19.161,0.325,W1
QSO_176.776708-1.166167,56824.604396,18.91,0.323,W1
QSO_176.776708-1.166167,56824.99888799998,18.53,0.226,W1
QSO_176.776708-1.166167,57013.12215100003,18.668,0.234,W1
QSO_176.776708-1.166167,57013.25347799998,18.925,,W1
QSO_176.776708-1.166167,57013.647568499975,18.777,0.28,W1
QSO_176.776708-1.166167,57013.84455899997,18.533,0.242,W1
QSO_176.776708-1.166167,57014.1071765,18.786,0.302,W1
QSO_176.776708-1.166167,57182.84660856869,18.62,0.215,W1
QSO_176.776708-1.166167,57183.10886107698,18.699,0.276,W1
QSO_176.776708-1.166167,57183.239932581215,18.883000000000003,0.255,W1
QSO_176.776708-1.166167,57183.305596083264,19.169,0.47,W1
QSO_176.776708-1.166167,57375.00286058789,18.757,0.245,W1
QSO_176.776708-1.166167,57375.133895592,18.748,0.247,W1
QSO_176.776708-1.166167,57375.26496709615,18.563,0.2,W1
QSO_176.776708-1.166167,57375.33037509824,19.181,0.364,W1
QSO_176.776708-1.166167,57375.33052109828,18.713,0.292,W1
QSO_176.776708-1.166167,57375.59251810653,19.315,0.446,W1
QSO_176.776708-1.166167,57375.8546611149,19.086,0.322,W1
QSO_176.776708-1.166167,57740.0305231323,18.544,0.348,W1
QSO_176.776708-1.166167,57740.22739453858,19.178,,W1
QSO_176.776708-1.166167,57740.35871534272,18.42,0.194,W1
QSO_176.776708-1.166167,57740.48999954683,18.693,0.252,W1
QSO_176.776708-1.166167,57902.524522500025,18.797,0.246,W1
QSO_176.776708-1.166167,57902.91707999997,19.518,0.45,W1
QSO_176.776708-1.166167,57902.98248799999,18.364,0.286,W1
QSO_176.776708-1.166167,57903.505861499965,18.754,0.236,W1
QSO_176.776708-1.166167,58106.73994199998,18.572,0.233,W1
QSO_176.776708-1.166167,58107.32861399997,18.795,0.344,W1
QSO_176.776708-1.166167,58107.32872349997,18.487,0.187,W1
QSO_176.776708-1.166167,58265.96356349998,18.745,0.298,W1
QSO_176.776708-1.166167,58266.29060349998,19.15,0.356,W1
QSO_176.776708-1.166167,58470.73874699998,18.745,0.235,W1
QSO_176.776708-1.166167,58470.86941699998,18.644,0.26,W1
QSO_176.776708-1.166167,58471.00023300001,18.536,0.466,W1
QSO_176.776708-1.166167,58471.45794300002,18.35,0.251,W1
QSO_176.776708-1.166167,58629.7722035,18.99,0.428,W1
QSO_176.776708-1.166167,58630.09949900004,18.517,0.18,W1
QSO_176.776708-1.166167,58837.354821000015,18.779,0.253,W1
QSO_176.776708-1.166167,58837.6163435,19.026000000000003,,W1
QSO_176.776708-1.166167,58838.204614,18.880000000000003,0.262,W1
QSO_176.776708-1.166167,58994.11790199998,18.674,0.303,W1
QSO_176.776708-1.166167,58994.24892999999,18.824,0.267,W1
QSO_176.776708-1.166167,58994.44558180004,18.737,0.369,W1
QSO_176.776708-1.166167,59202.19852779999,18.42,0.25,W1
QSO_176.776708-1.166167,59202.32944599999,19.112,0.347,W1
QSO_176.776708-1.166167,59202.46047399999,18.63,0.302,W1
QSO_176.776708-1.166167,59203.0502464,18.998,0.411,W1
QSO_176.776708-1.166167,59361.53399499997,19.459000000000003,0.43,W1
QSO_176.776708-1.166167,59361.72981750004,18.594,0.191,W1
QSO_176.776708-1.166167,59361.92578599997,18.935,0.264,W1
QSO_176.776708-1.166167,59361.99104800004,18.843,0.253,W1
QSO_176.776708-1.166167,59566.304688999975,18.803,0.293,W1
QSO_176.776708-1.166167,59566.69637049997,18.725,0.347,W1
QSO_176.776708-1.166167,59566.827077,19.037,0.306,W1
QSO_176.776708-1.166167,59566.89233899999,18.843,0.284,W1
QSO_176.776708-1.166167,59567.15345999999,18.736,0.307,W1
QSO_176.776708-1.166167,59726.021097,19.358,0.381,W1
QSO_176.776708-1.166167,59933.393583999976,18.75,0.277,W1
QSO_176.776708-1.166167,59933.52374299998,18.482,0.193,W1
QSO_176.776708-1.166167,59933.58878599997,19.215,0.387,W1
QSO_176.776708-1.166167,59933.71894499997,19.129,0.331,W1
QSO_176.776708-1.166167,59933.719091000006,18.861,0.352,W1
QSO_176.776708-1.166167,59933.97944549998,18.796,0.32,W1
QSO_176.776708-1.166167,60089.39662800003,18.897,0.455,W1
QSO_176.776708-1.166167,60090.23992400001,18.666,0.223,W1
QSO_176.776708-1.166167,60297.23500100002,18.877,,W1
QSO_176.776708-1.166167,60297.55773400001,18.402,0.244,W1
QSO_176.776708-1.166167,60297.62171849998,18.506,0.186,W1
QSO_176.776708-1.166167,60297.686250499966,18.926,0.369,W1
QSO_176.776708-1.166167,60297.81578899998,18.974,0.39,W1
QSO_176.776708-1.166167,55359.47715850003,18.826,0.492,W2
QSO_176.776708-1.166167,55359.6093615,18.428,,W2
QSO_176.776708-1.166167,55359.74156449997,18.235,,W2
QSO_176.776708-1.166167,55359.87380399997,18.464,0.375,W2
QSO_176.776708-1.166167,55359.93997850001,18.303,,W2
QSO_176.776708-1.166167,55360.006007000025,18.762,,W2
QSO_176.776708-1.166167,55360.07218149999,18.307,0.346,W2
QSO_176.776708-1.166167,55360.138210000005,18.483,0.364,W2
QSO_176.776708-1.166167,55360.204384499964,18.338,0.292,W2
QSO_176.776708-1.166167,55360.336587500016,18.253,,W2
QSO_176.776708-1.166167,55360.46868099999,18.636,,W2
QSO_176.776708-1.166167,55360.46882700002,18.336,,W2
QSO_176.776708-1.166167,55548.47547250002,18.181,,W2
QSO_176.776708-1.166167,55548.607565999984,18.404,,W2
QSO_176.776708-1.166167,55548.73980549999,18.214,,W2
QSO_176.776708-1.166167,55548.87200849996,18.575,,W2
QSO_176.776708-1.166167,55548.93803699997,18.424,0.375,W2
QSO_176.776708-1.166167,55549.00410200001,18.844,0.535,W2
QSO_176.776708-1.166167,55549.00421150002,18.621,0.436,W2
QSO_176.776708-1.166167,55549.07027649997,18.28,,W2
QSO_176.776708-1.166167,55549.2023335,18.239,,W2
QSO_176.776708-1.166167,55549.20247950003,18.655,,W2
QSO_176.776708-1.166167,55549.334573,18.166,,W2
QSO_176.776708-1.166167,55549.46677599997,18.349,,W2
QSO_176.776708-1.166167,56647.57490649996,18.295,0.381,W2
QSO_176.776708-1.166167,56647.70659850002,18.098,0.331,W2
QSO_176.776708-1.166167,56647.77251750003,17.877,,W2
QSO_176.776708-1.166167,56824.40718649999,18.464,,W2
QSO_176.776708-1.166167,56824.604396,17.791999999999998,,W2
QSO_176.776708-1.166167,56824.99888799998,17.951999999999998,0.335,W2
QSO_176.776708-1.166167,57013.12215100003,18.418,,W2
QSO_176.776708-1.166167,57013.25347799998,17.881999999999998,,W2
QSO_176.776708-1.166167,57013.647568499975,17.814,,W2
QSO_176.776708-1.166167,57013.84455899997,18.457,,W2
QSO_176.776708-1.166167,57014.1071765,18.316,,W2
QSO_176.776708-1.166167,57182.84660856869,17.89,,W2
QSO_176.776708-1.166167,57183.10886107698,18.092,,W2
QSO_176.776708-1.166167,57183.239932581215,18.846,,W2
QSO_176.776708-1.166167,57183.305596083264,18.455,0.377,W2
QSO_176.776708-1.166167,57375.00286058789,18.614,,W2
QSO_176.776708-1.166167,57375.133895592,18.237,,W2
QSO_176.776708-1.166167,57375.26496709615,18.574,,W2
QSO_176.776708-1.166167,57375.33037509824,18.369,,W2
QSO_176.776708-1.166167,57375.33052109828,18.741,,W2
QSO_176.776708-1.166167,57375.59251810653,18.096,0.371,W2
QSO_176.776708-1.166167,57375.8546611149,18.571,0.489,W2
QSO_176.776708-1.166167,57740.0305231323,18.586,,W2
QSO_176.776708-1.166167,57740.22739453858,17.842,,W2
QSO_176.776708-1.166167,57740.35871534272,17.578,,W2
QSO_176.776708-1.166167,57740.48999954683,18.096,,W2
QSO_176.776708-1.166167,57902.524522500025,17.787,0.253,W2
QSO_176.776708-1.166167,57902.91707999997,17.788,,W2
QSO_176.776708-1.166167,57902.98248799999,18.104,,W2
QSO_176.776708-1.166167,57903.505861499965,18.285,,W2
QSO_176.776708-1.166167,58106.73994199998,18.012,,W2
QSO_176.776708-1.166167,58107.32861399997,18.796,,W2
QSO_176.776708-1.166167,58107.32872349997,18.075,,W2
QSO_176.776708-1.166167,58265.96356349998,18.757,,W2
QSO_176.776708-1.166167,58266.29060349998,18.101,,W2
QSO_176.776708-1.166167,58470.73874699998,18.519,,W2
QSO_176.776708-1.166167,58470.86941699998,17.877,,W2
QSO_176.776708-1.166167,58471.00023300001,18.661,,W2
QSO_176.776708-1.166167,58471.45794300002,18.154,,W2
QSO_176.776708-1.166167,58629.7722035,17.991,,W2
QSO_176.776708-1.166167,58630.09949900004,18.356,,W2
QSO_176.776708-1.166167,58837.354821000015,18.148,,W2
QSO_176.776708-1.166167,58837.6163435,18.032,,W2
QSO_176.776708-1.166167,58838.204614,18.306,0.376,W2
QSO_176.776708-1.166167,58994.11790199998,18.488,,W2
QSO_176.776708-1.166167,58994.24892999999,18.035,,W2
QSO_176.776708-1.166167,58994.44558180004,17.896,,W2
QSO_176.776708-1.166167,59202.19852779999,18.552,0.53,W2
QSO_176.776708-1.166167,59202.32944599999,18.101,,W2
QSO_176.776708-1.166167,59202.46047399999,18.105,,W2
QSO_176.776708-1.166167,59203.0502464,18.029,0.35,W2
QSO_176.776708-1.166167,59361.53399499997,18.327,0.403,W2
QSO_176.776708-1.166167,59361.72981750004,18.487,,W2
QSO_176.776708-1.166167,59361.92578599997,18.143,,W2
QSO_176.776708-1.166167,59361.99104800004,18.454,0.378,W2
QSO_176.776708-1.166167,59566.304688999975,18.408,,W2
QSO_176.776708-1.166167,59566.69637049997,17.839,,W2
QSO_176.776708-1.166167,59566.827077,18.13,,W2
QSO_176.776708-1.166167,59566.89233899999,17.955,,W2
QSO_176.776708-1.166167,59567.15345999999,18.221,,W2
QSO_176.776708-1.166167,59726.021097,17.904,,W2
QSO_176.776708-1.166167,59933.393583999976,18.156,,W2
QSO_176.776708-1.166167,59933.52374299998,17.875,,W2
QSO_176.776708-1.166167,59933.58878599997,18.197,0.391,W2
QSO_176.776708-1.166167,59933.71894499997,18.014,0.324,W2
QSO_176.776708-1.166167,59933.719091000006,17.88,,W2
QSO_176.776708-1.166167,59933.97944549998,17.751,,W2
QSO_176.776708-1.166167,60089.39662800003,18.235,,W2
QSO_176.776708-1.166167,60090.23992400001,18.837,,W2
QSO_176.776708-1.166167,60297.23500100002,17.755,0.318,W2
QSO_176.776708-1.166167,60297.55773400001,18.672,0.513,W2
QSO_176.776708-1.166167,60297.62171849998,18.598,,W2
QSO_176.776708-1.166167,60297.686250499966,18.269,0.375,W2
QSO_176.776708-1.166167,60297.81578899998,17.671,,W2
QSO_176.0908019-1.1138259,55359.37800625,18.494,0.076694605416548,W1
QSO_176.0908019-1.1138259,55548.34326949996,18.465,0.0761409421579634,W1
QSO_176.0908019-1.1138259,56647.24571299999,18.431,0.1122352030175632,W1
QSO_176.0908019-1.1138259,56824.20979450001,18.643,0.104070514556237,W1
QSO_176.0908019-1.1138259,57013.02365575003,18.765,0.1286083356551979,W1
QSO_176.0908019-1.1138259,57182.78095013326,18.519,0.0362595090976145,W1
QSO_176.0908019-1.1138259,57374.904547419545,18.304,0.0625153731093403,W1
QSO_176.0908019-1.1138259,57541.35854809931,18.492,0.0984666028407607,W1
QSO_176.0908019-1.1138259,57739.63675483973,18.361,0.0995023818810384,W1
QSO_176.0908019-1.1138259,57902.32815250003,18.597,0.0601741472727281,W1
QSO_176.0908019-1.1138259,58106.44560599994,18.69,0.1236945582877434,W1
QSO_176.0908019-1.1138259,58265.50585349997,18.476,0.0636996871717013,W1
QSO_176.0908019-1.1138259,58470.54252300001,18.544,0.0827865684287526,W1
QSO_176.0908019-1.1138259,58629.347489500025,18.4505,0.170587451776805,W1
QSO_176.0908019-1.1138259,58837.42022900003,18.315,0.0930153312731398,W1
QSO_176.0908019-1.1138259,58993.822704700025,18.8805,0.1084544835403314,W1
QSO_176.0908019-1.1138259,59202.13294059998,18.536,0.0655242149172714,W1
QSO_176.0908019-1.1138259,59361.37060275003,18.501,0.1852382474904503,W1
QSO_176.0908019-1.1138259,59566.17412849998,18.467,0.0883345459036271,W1
QSO_176.0908019-1.1138259,59725.04304300002,18.688,0.0994082491546857,W1
QSO_176.0908019-1.1138259,59932.97020224994,18.6335,0.1066778639956138,W1
QSO_176.0908019-1.1138259,60089.20142599996,18.611,0.1012476567630087,W1
QSO_176.0908019-1.1138259,60296.81565250007,18.6825,0.1599200176245518,W1
QSO_176.0908019-1.1138259,60456.42331419997,18.745,0.0546998544246154,W1
QSO_176.0908019-1.1138259,55359.37800625,18.022,0.096114764903252,W2
QSO_176.0908019-1.1138259,55548.34326949996,18.21,0.058453315761014,W2
