oid,time,magnitude,error,band
QSO_41.732917-52.330528,56652.00768549998,18.855,0.275,W1
QSO_41.732917-52.330528,56652.73199150001,19.227,0.418,W1
QSO_41.732917-52.330528,56840.42838700004,18.716,0.406,W1
QSO_41.732917-52.330528,57016.03262449996,18.869,0.252,W1
QSO_41.732917-52.330528,57016.49226900001,18.698,0.481,W1
QSO_41.732917-52.330528,57737.55738785408,18.884,,W1
QSO_41.732917-52.330528,57933.44973149997,18.239,,W1
QSO_41.732917-52.330528,57934.104067000015,19.217,0.306,W1
QSO_41.732917-52.330528,58097.73349399997,18.962000000000003,0.376,W1
QSO_41.732917-52.330528,58098.32231199999,19.653,,W1
QSO_41.732917-52.330528,58098.387720000006,19.380000000000003,,W1
QSO_41.732917-52.330528,58098.51849950001,19.394,0.38,W1
QSO_41.732917-52.330528,58098.71472349998,19.046,0.277,W1
QSO_41.732917-52.330528,58296.807742500045,18.956000000000003,0.432,W1
QSO_41.732917-52.330528,58297.46156700001,18.784,0.223,W1
QSO_41.732917-52.330528,58458.85909199997,18.788,0.222,W1
QSO_41.732917-52.330528,58459.05531600002,19.203000000000003,,W1
QSO_41.732917-52.330528,58822.21031399997,19.44,0.351,W1
QSO_41.732917-52.330528,58826.06653899999,18.933,0.252,W1
QSO_41.732917-52.330528,59393.32067700004,18.927,0.256,W1
QSO_41.732917-52.330528,59393.712468000034,18.950000000000003,0.278,W1
QSO_41.732917-52.330528,59759.70920999999,19.175,0.42,W1
QSO_41.732917-52.330528,59921.37026500003,19.662,0.543,W1
QSO_41.732917-52.330528,59921.50046049999,19.037,,W1
QSO_41.732917-52.330528,59921.82596750002,19.216,0.335,W1
QSO_41.732917-52.330528,60490.95018040001,18.107,0.182,W1
QSO_41.732917-52.330528,56652.00768549998,18.793,0.533,W2
QSO_41.732917-52.330528,56652.73199150001,17.34,,W2
QSO_41.732917-52.330528,56840.42838700004,18.835,,W2
QSO_41.732917-52.330528,57016.03262449996,18.548,,W2
QSO_41.732917-52.330528,57016.49226900001,18.485,,W2
QSO_41.732917-52.330528,57737.55738785408,18.081,,W2
QSO_41.732917-52.330528,57933.44973149997,18.848,,W2
QSO_41.732917-52.330528,57934.104067000015,18.003,,W2
QSO_41.732917-52.330528,58097.73349399997,18.337,,W2
QSO_41.732917-52.330528,58098.32231199999,18.099,0.434,W2
QSO_41.732917-52.330528,58098.387720000006,18.162,0.373,W2
QSO_41.732917-52.330528,58098.51849950001,18.781,0.446,W2
QSO_41.732917-52.330528,58098.71472349998,18.597,,W2
QSO_41.732917-52.330528,58296.807742500045,18.076,,W2
QSO_41.732917-52.330528,58297.46156700001,18.624,0.5,W2
QSO_41.732917-52.330528,58458.85909199997,18.981,,W2
QSO_41.732917-52.330528,58459.05531600002,18.217,0.357,W2
QSO_41.732917-52.330528,58822.21031399997,17.774,0.455,W2
QSO_41.732917-52.330528,58826.06653899999,18.697,,W2
QSO_41.732917-52.330528,59393.32067700004,18.427,,W2
QSO_41.732917-52.330528,59393.712468000034,18.86,,W2
QSO_41.732917-52.330528,59759.70920999999,18.753,,W2
QSO_41.732917-52.330528,59921.37026500003,18.145,,W2
QSO_41.732917-52.330528,59921.50046049999,17.535999999999998,,W2
QSO_41.732917-52.330528,59921.82596750002,18.89,,W2
QSO_41.732917-52.330528,60490.95018040001,18.436,,W2
QSO_41.2083639-51.7097738,55374.79175549997,19.165,,W1
QSO_41.2083639-51.7097738,55374.92395850003,19.029,0.282,W1
QSO_41.2083639-51.7097738,55375.188364499976,18.766,0.214,W1
