oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_24.3720911-55.2838986,,,,,,,,,,,0.013756195064582408,1.0,0.016071400494329643,1.0,0.14699999999999847,0.12099999999999866,0.2238749999999996,0.9919309901007807,1.0,0.2727272727272727,0.0,1.0548486169848041,0.25900000000000034,0.0017697863970832417,18.611363636363635,0.0068140752672702105,0.08175000000000132,0.45454545454545453,-0.03333333333333333,0.021838524016997405,0.14699999999999847,0.29854754250091986,1.3298121445886986,3.0821175244679724,0.12681923264471762,0.7453570615312487,0.9999999999999997,3.439159677486915e-05,0.32732810590626027,1.5622972953613719,0.9978901184154875,-6.597335718724526e-05,0.24362500000000153,0.8075260601709017,2.0,0.2727272727272727,0.0,0.6364089596796347,0.16850000000000165,0.0014484382938319005,18.161227272727274,0.007255505577234874,0.0754999999999999,0.4090909090909091,-0.03333333333333333,0.019382409704990434,0.12099999999999866,0.3041733128362338,0.7905308295900753,1.0131062638149206,0.13176888576670284,0.7217650941402236,1.0,3.901979967586328e-05,0.2530157558980047,1.9225336726582745,0.9992370801508099,-6.893010494097765e-05
QSO_24.5181656-55.645688,,,,,,,,,,,0.0016409979718692087,1.0,0.009043331696812575,1.0,0.07850000000000534,0.12300000000000111,0.1663749999999986,0.9521814879014258,1.0,0.22727272727272727,0.0,2.323517607907888,0.10849999999999937,0.0017756285422437423,18.792409090909093,0.00438045547399393,0.03850000000000087,0.5,-0.03333333333333333,0.013154391010278526,0.07850000000000534,0.2505863916358866,0.8539351569664769,2.5358262878566418,0.08231931127180603,0.7247034443082542,0.9076546671850731,2.344817686157189e-06,0.26777555601566033,1.8432188500846036,0.6180339980948049,1.5807015888007225e-05,0.25200000000000067,0.6870440202025734,1.0,0.22727272727272727,0.0,2.4113196045901772,-0.04450000000000642,0.002591429504129903,18.258113636363635,0.007107245930462324,0.06450000000000067,0.5,0.03333333333333333,0.01906939177812174,0.12300000000000111,0.2043667225452494,-0.2406787168009436,2.4056699428988377,0.1297649038399641,0.7322776303439927,0.9999994853974001,3.2116291469511364e-05,0.3665359709475971,1.404032996620793,0.6180339980948049,2.8663511288453075e-06
QSO_24.5805949-55.226269,,,,,,,,,,,0.02379423481927621,1.0,0.02219670324221889,1.0,0.21025000000000205,0.3155000000000001,0.3026250000000026,0.22400528658116128,1.0,0.0,0.0,1.2129947765519125,-0.09149999999999636,0.002166706362533362,18.962260869565217,0.008542414107930732,0.10200000000000387,0.34782608695652173,-0.06666666666666667,0.021181305653617023,0.21025000000000205,0.22583342676000057,-0.3308159196643953,0.6178343666995811,0.16198348477043678,,1.0,4.8665011022423435e-05,0.356950688407666,1.4411028695212724,0.995209713028794,-6.35310387662343e-05,0.2543749999999996,0.9954859939694481,1.0,0.0,0.0,2.0935473852058473,-0.16850000000000165,0.00268797405948028,18.275391304347824,0.009391845973815136,0.09249999999999758,0.17391304347826086,-0.06666666666666667,0.01925017041581467,0.3155000000000001,0.2308822119995499,-0.42865415425800596,-1.0310503760912506,0.17163966024163527,,1.0,6.268165916451517e-05,0.442067270450969,1.1419247425159196,0.9625288705454719,-5.14234131239313e-05
QSO_24.6520163-56.3445524,,,,,,,,,,,0.003939661561347031,1.0,0.0011405812067940464,1.0,0.11724999999999852,0.10025000000000261,0.1980000000000004,0.30411877498335493,1.0,0.3181818181818182,0.0,1.7738668700402187,0.001999999999995339,0.0016267516815377172,18.769500000000004,0.005828235006314938,0.08175000000000132,0.36363636363636365,0.03333333333333333,0.011969271325673176,0.11724999999999852,0.22354750965128767,0.28899707196825986,0.264719855816677,0.10939305695102826,0.8180802254596948,0.9810856939747078,1.1687639667651952e-05,0.3019683635418394,1.6751069046394453,0.9864052609938498,-5.108048700029005e-06,0.1609999999999996,0.9062080413182108,1.0,0.2727272727272727,0.0,2.0909938119475293,0.1460000000000008,0.0019620716342200572,18.165863636363635,0.004886435171555306,0.0467499999999994,0.4090909090909091,0.03333333333333333,0.015001033129003357,0.10025000000000261,0.14307694561772724,0.9454008365471543,2.1432656220647583,0.08876631499440484,0.7921718151048467,0.8447314828059154,3.536142819758274e-06,0.2893290016520762,1.7349214294520856,0.9383310011410368,-1.7887029183141984e-05
QSO_24.6930882-56.3869067,,,,,,,,,,,0.006082426362389401,1.0,0.021216023199193468,1.0,0.16474999999999795,0.24450000000000216,0.20637499999999953,0.5417048100919732,1.0,0.0,0.0,2.114201737594904,0.10099999999999909,0.001951441200712221,18.82113043478261,0.006208085608499588,0.0940000000000012,0.2608695652173913,0.06666666666666667,0.014384472214836585,0.16474999999999795,0.27091873926072485,0.5130847891837003,0.04848057456390009,0.11684318898786751,,1.0,2.061105462342815e-05,0.26200167545978575,1.8737127517452006,0.9782022957042399,2.1530144346493714e-05,0.29612500000000175,0.26724728851819585,1.0,0.0,0.0,1.388011753687654,0.06649999999999778,0.0023073497592634887,18.241347826086955,0.00930692089275771,0.10800000000000054,0.30434782608695654,0.0,0.021492406381928803,0.24450000000000216,0.30121788837528735,0.25234694378760636,0.10894300569412918,0.1697707811946691,,1.0,6.482524316620846e-05,0.40368497191403213,1.268984357037398,0.9980482074725794,-5.279564396512237e-05
QSO_24.7722728-55.913857,,,,,,,,,,,0.004222481350913944,1.0,0.01231338998249603,1.0,0.1374999999999993,0.11550000000000082,0.1538750000000011,0.6048859790215538,1.0,0.2727272727272727,0.0,1.4291663176272107,0.09899999999999665,0.0013189983510894152,18.720499999999994,0.0047349081710609305,0.06150000000000233,0.3181818181818182,0.1,0.01304464047046243,0.1374999999999993,0.22127335181696722,0.6061561150519632,0.8397733368916604,0.08863984841634612,0.7690986825245684,0.9931069303421124,6.032886656018228e-06,-0.5,-0.5,0.6180339980948049,-3.4286700270030605e-05,0.24112499999999848,0.7739570282053633,2.0,0.3181818181818182,0.0,0.8030314256004414,0.0940000000000012,0.0012567350068232602,18.230295454545452,0.007203129048664053,0.06349999999999945,0.5,-0.03333333333333333,0.016993822923816057,0.11550000000000082,0.28135577008725293,0.5003260280496902,0.603467973576481,0.13131517075436458,0.74358440419332,0.9999998250456952,3.214621134461203e-05,-0.5,-0.5,0.9995731530539708,-7.252269504342609e-05
QSO_24.7812447-56.0336755,,,,,,,,,,,0.0032616222531449213,1.0,0.00501452208749317,1.0,0.13250000000000384,0.14850000000000207,0.14162500000000122,0.33144855085792013,1.0,0.3181818181818182,0.0,1.9094026330489269,0.012999999999998124,0.001356492926149135,18.595818181818178,0.0044669277594679545,0.06225000000000058,0.2727272727272727,0.03333333333333333,0.008922332706261778,0.13250000000000384,0.1828174963972553,-0.03957921746757337,-0.27486173743721265,0.08306617644638252,0.795002443198968,0.9679652357363522,2.515445080321975e-06,-0.5,-0.5,0.6180339980948049,-2.548038706277703e-05,0.15300000000000225,0.5038049332165939,1.0,0.3181818181818182,0.0,2.2924253646092634,-0.02499999999999858,0.001262959023486571,18.126,0.005123654835144934,0.08775000000000333,0.2727272727272727,-0.03333333333333333,0.009764978483945693,0.14850000000000207,0.15955597737383515,-0.17357273009901641,-0.6809405608481414,0.09287136754183709,0.7902961210969784,0.9994991048234837,9.723106326239886e-06,0.2943618641736488,1.7107966014011908,0.6180339980948049,-2.137606183803334e-05
QSO_24.8246648-55.9555947,,,,,,,,,,,0.005387793346075145,1.0,0.004858879441940879,1.0,0.15412499999999696,0.08037500000000009,0.17987499999999912,0.3546912646286338,1.0,0.36363636363636365,0.0,2.3277814538745734,-0.06300000000000239,0.0020523671076209666,18.826659090909093,0.0057400403269384686,0.08375000000000021,0.3181818181818182,0.16666666666666666,0.01328868335725315,0.15412499999999696,0.21532836372130532,-0.2881527324462909,0.26310184630371625,0.10806578240334092,0.8554981927030172,0.9983239710289183,1.428854257521603e-05,0.3062938789488232,1.6552104535490597,0.9654159299381981,-1.7508828782402525e-05,0.16474999999999973,0.8047144750649489,1.0,0.3181818181818182,0.0,1.9666293817849263,0.05750000000000455,0.0012299901635536461,18.263977272727274,0.005030392483845916,0.04925000000000246,0.4090909090909091,-0.1,0.011275053772279638,0.08037500000000009,0.1915556847300841,0.38927216864282393,0.314452190190742,0.09187497399785992,0.7571867550118621,0.9982853771503548,6.0665733128679956e-06,0.1936021566811931,2.296948278647167,0.9891890081812867,-1.9479692811296218e-05
QSO_24.9754523-55.9553023,,,,,,,,,,,5.105993290452608e-08,1.0,0.01064857385465512,1.0,0.07075000000000031,0.15075000000000216,0.17249999999999943,0.7742578703243852,1.0,0.3181818181818182,0.0,1.1095110902224143,-0.006000000000007333,0.0012366948940075017,18.77931818181818,0.0047339536855265955,0.039500000000003865,0.5,0.1,0.009530401448195187,0.07075000000000031,0.27289331019167196,0.01283486224314208,0.7101044167930057,0.08890042251849478,0.7646714662566859,0.7626635030397322,3.5386312125373366e-06,-0.5,-0.5,0.9997493796930004,-2.5213493262721735e-05,0.21837500000000176,0.33598570855672033,1.0,0.36363636363636365,0.0,1.1970746651523303,0.03849999999999909,0.0015335494850878253,18.16509090909091,0.007139184592862069,0.0810000000000013,0.2727272727272727,-0.03333333333333333,0.014486367391902953,0.15075000000000216,0.31202689341136064,0.23227451204024882,-0.3568372015414707,0.12968393714612067,0.8289786252207654,0.9999999620237496,3.544775198519027e-05,0.3323368337195744,1.5410534237303777,0.9966795486985577,-4.708270870077403e-05
QSO_25.3386902-55.4863894,,,,,,,,,,,0.008415827892491774,1.0,0.04411185763935342,1.0,0.07049999999999912,0.14450000000000074,0.19949999999999868,0.9792874309836687,1.0,0.0,0.0,1.5322866705284643,0.1280000000000001,0.002009229834112646,18.997608695652172,0.005657017737552002,0.04100000000000037,0.5217391304347826,0.13333333333333333,0.01505897219882044,0.07049999999999912,0.26522593542735345,0.8610893225752777,1.3536615291677956,0.1074698093623765,,1.0,8.868698800263462e-06,-0.5,-0.5,0.9998507977538126,-6.943138942865192e-06,0.35774999999999935,0.9999995804794451,1.0,0.0,0.0,0.8339370699464342,-0.6560000000000059,0.0035933136628798126,18.231673913043476,0.011111312285499383,0.0815000000000019,0.6086956521739131,-0.06666666666666667,0.04681853028145879,0.14450000000000074,0.2415790769339464,-2.783048647644354,13.229466787127288,0.2025778223352186,,1.0,0.00010044972192367779,-0.5,-0.5,0.999812233963261,-7.539062814233714e-05
