oid,time,magnitude,error,band
QSO_176.776708-1.166167,55359.47715850003,18.283,0.156,W1
QSO_176.776708-1.166167,55359.6093615,18.786,0.245,W1
QSO_176.776708-1.166167,55359.74156449997,18.731,0.218,W1
QSO_176.776708-1.166167,55359.87380399997,19.088,0.309,W1
QSO_176.776708-1.166167,55359.93997850001,19.17,0.335,W1
QSO_176.776708-1.166167,55360.006007000025,19.461,0.437,W1
QSO_176.776708-1.166167,55360.07218149999,18.752,0.236,W1
QSO_176.776708-1.166167,55360.138210000005,19.005000000000003,0.297,W1
QSO_176.776708-1.166167,55360.204384499964,18.71,0.262,W1
QSO_176.776708-1.166167,55360.336587500016,19.363,0.435,W1
QSO_176.776708-1.166167,55360.46868099999,19.096,0.317,W1
QSO_176.776708-1.166167,55360.46882700002,18.811,0.254,W1
QSO_176.776708-1.166167,55548.47547250002,18.86,0.258,W1
QSO_176.776708-1.166167,55548.607565999984,18.926,0.287,W1
QSO_176.776708-1.166167,55548.73980549999,19.354,,W1
QSO_176.776708-1.166167,55548.87200849996,18.477,0.191,W1
QSO_176.776708-1.166167,55548.93803699997,19.125,0.362,W1
QSO_176.776708-1.166167,55549.00410200001,19.297,0.428,W1
QSO_176.776708-1.166167,55549.00421150002,18.9,0.276,W1
QSO_176.776708-1.166167,55549.07027649997,19.122,0.345,W1
QSO_176.776708-1.166167,55549.2023335,19.274,0.369,W1
QSO_176.776708-1.166167,55549.20247950003,18.866,0.291,W1
QSO_176.776708-1.166167,55549.334573,18.831000000000003,0.326,W1
QSO_176.776708-1.166167,55549.46677599997,19.265,0.368,W1
QSO_176.776708-1.166167,56647.57490649996,18.661,0.229,W1
QSO_176.776708-1.166167,56647.70659850002,18.208,0.202,W1
QSO_176.776708-1.166167,56647.77251750003,19.195,0.363,W1
QSO_176.776708-1.166167,56824.40718649999,19.161,0.325,W1
QSO_176.776708-1.166167,56824.604396,18.91,0.323,W1
QSO_176.776708-1.166167,56824.99888799998,18.53,0.226,W1
QSO_176.776708-1.166167,57013.12215100003,18.668,0.234,W1
QSO_176.776708-1.166167,57013.25347799998,18.925,,W1
QSO_176.776708-1.166167,57013.647568499975,18.777,0.28,W1
QSO_176.776708-1.166167,57013.84455899997,18.533,0.242,W1
QSO_176.776708-1.166167,57014.1071765,18.786,0.302,W1
QSO_176.776708-1.166167,57182.84660856869,18.62,0.215,W1
QSO_176.776708-1.166167,57183.10886107698,18.699,0.276,W1
QSO_176.776708-1.166167,57183.239932581215,18.883000000000003,0.255,W1
QSO_176.776708-1.166167,57183.305596083264,19.169,0.47,W1
QSO_176.776708-1.166167,57375.00286058789,18.757,0.245,W1
QSO_176.776708-1.166167,57375.133895592,18.748,0.247,W1
QSO_176.776708-1.166167,57375.26496709615,18.563,0.2,W1
QSO_176.776708-1.166167,57375.33037509824,19.181,0.364,W1
QSO_176.776708-1.166167,57375.33052109828,18.713,0.292,W1
QSO_176.776708-1.166167,57375.59251810653,19.315,0.446,W1
QSO_176.776708-1.166167,57375.8546611149,19.086,0.322,W1
QSO_176.776708-1.166167,57740.0305231323,18.544,0.348,W1
QSO_176.776708-1.166167,57740.22739453858,19.178,,W1
QSO_176.776708-1.166167,57740.35871534272,18.42,0.194,W1
QSO_176.776708-1.166167,57740.48999954683,18.693,0.252,W1
QSO_176.776708-1.166167,57902.524522500025,18.797,0.246,W1
QSO_176.776708-1.166167,57902.91707999997,19.518,0.45,W1
QSO_176.776708-1.166167,57902.98248799999,18.364,0.286,W1
QSO_176.776708-1.166167,57903.505861499965,18.754,0.236,W1
QSO_176.776708-1.166167,58106.73994199998,18.572,0.233,W1
QSO_176.776708-1.166167,58107.32861399997,18.795,0.344,W1
QSO_176.776708-1.166167,58107.32872349997,18.487,0.187,W1
QSO_176.776708-1.166167,58265.96356349998,18.745,0.298,W1
QSO_176.776708-1.166167,58266.29060349998,19.15,0.356,W1
QSO_176.776708-1.166167,58470.73874699998,18.745,0.235,W1
QSO_176.776708-1.166167,58470.86941699998,18.644,0.26,W1
QSO_176.776708-1.166167,58471.00023300001,18.536,0.466,W1
QSO_176.776708-1.166167,58471.45794300002,18.35,0.251,W1
QSO_176.776708-1.166167,58629.7722035,18.99,0.428,W1
QSO_176.776708-1.166167,58630.09949900004,18.517,0.18,W1
QSO_176.776708-1.166167,58837.354821000015,18.779,0.253,W1
QSO_176.776708-1.166167,58837.6163435,19.026000000000003,,W1
QSO_176.776708-1.166167,58838.204614,18.880000000000003,0.262,W1
QSO_176.776708-1.166167,58994.11790199998,18.674,0.303,W1
QSO_176.776708-1.166167,58994.24892999999,18.824,0.267,W1
QSO_176.776708-1.166167,58994.44558180004,18.737,0.369,W1
QSO_176.776708-1.166167,59202.19852779999,18.42,0.25,W1
QSO_176.776708-1.166167,59202.32944599999,19.112,0.347,W1
QSO_176.776708-1.166167,59202.46047399999,18.63,0.302,W1
QSO_176.776708-1.166167,59203.0502464,18.998,0.411,W1
QSO_176.776708-1.166167,59361.53399499997,19.459000000000003,0.43,W1
QSO_176.776708-1.166167,59361.72981750004,18.594,0.191,W1
QSO_176.776708-1.166167,59361.92578599997,18.935,0.264,W1
QSO_176.776708-1.166167,59361.99104800004,18.843,0.253,W1
QSO_176.776708-1.166167,59566.304688999975,18.803,0.293,W1
QSO_176.776708-1.166167,59566.69637049997,18.725,0.347,W1
QSO_176.776708-1.166167,59566.827077,19.037,0.306,W1
QSO_176.776708-1.166167,59566.89233899999,18.843,0.284,W1
QSO_176.776708-1.166167,59567.15345999999,18.736,0.307,W1
QSO_176.776708-1.166167,59726.021097,19.358,0.381,W1
QSO_176.776708-1.166167,59933.393583999976,18.75,0.277,W1
QSO_176.776708-1.166167,59933.52374299998,18.482,0.193,W1
QSO_176.776708-1.166167,59933.58878599997,19.215,0.387,W1
QSO_176.776708-1.166167,59933.71894499997,19.129,0.331,W1
QSO_176.776708-1.166167,59933.719091000006,18.861,0.352,W1
QSO_176.776708-1.166167,59933.97944549998,18.796,0.32,W1
QSO_176.776708-1.166167,60089.39662800003,18.897,0.455,W1
QSO_176.776708-1.166167,60090.23992400001,18.666,0.223,W1
QSO_176.776708-1.166167,60297.23500100002,18.877,,W1
QSO_176.776708-1.166167,60297.55773400001,18.402,0.244,W1
QSO_176.776708-1.166167,60297.62171849998,18.506,0.186,W1
QSO_176.776708-1.166167,60297.686250499966,18.926,0.369,W1
QSO_176.776708-1.166167,60297.81578899998,18.974,0.39,W1
QSO_176.776708-1.166167,55359.47715850003,18.826,0.492,W2
QSO_176.776708-1.166167,55359.6093615,18.428,,W2
QSO_176.776708-1.166167,55359.74156449997,18.235,,W2
QSO_176.776708-1.166167,55359.87380399997,18.464,0.375,W2
QSO_176.776708-1.166167,55359.93997850001,18.303,,W2
QSO_176.776708-1.166167,55360.006007000025,18.762,,W2
QSO_176.776708-1.166167,55360.07218149999,18.307,0.346,W2
QSO_176.776708-1.166167,55360.138210000005,18.483,0.364,W2
QSO_176.776708-1.166167,55360.204384499964,18.338,0.292,W2
QSO_176.776708-1.166167,55360.336587500016,18.253,,W2
QSO_176.776708-1.166167,55360.46868099999,18.636,,W2
QSO_176.776708-1.166167,55360.46882700002,18.336,,W2
QSO_176.776708-1.166167,55548.47547250002,18.181,,W2
QSO_176.776708-1.166167,55548.607565999984,18.404,,W2
QSO_176.776708-1.166167,55548.73980549999,18.214,,W2
QSO_176.776708-1.166167,55548.87200849996,18.575,,W2
QSO_176.776708-1.166167,55548.93803699997,18.424,0.375,W2
QSO_176.776708-1.166167,55549.00410200001,18.844,0.535,W2
QSO_176.776708-1.166167,55549.00421150002,18.621,0.436,W2
QSO_176.776708-1.166167,55549.07027649997,18.28,,W2
QSO_176.776708-1.166167,55549.2023335,18.239,,W2
QSO_176.776708-1.166167,55549.20247950003,18.655,,W2
QSO_176.776708-1.166167,55549.334573,18.166,,W2
QSO_176.776708-1.166167,55549.46677599997,18.349,,W2
QSO_176.776708-1.166167,56647.57490649996,18.295,0.381,W2
QSO_176.776708-1.166167,56647.70659850002,18.098,0.331,W2
QSO_176.776708-1.166167,56647.77251750003,17.877,,W2
QSO_176.776708-1.166167,56824.40718649999,18.464,,W2
QSO_176.776708-1.166167,56824.604396,17.791999999999998,,W2
QSO_176.776708-1.166167,56824.99888799998,17.951999999999998,0.335,W2
QSO_176.776708-1.166167,57013.12215100003,18.418,,W2
QSO_176.776708-1.166167,57013.25347799998,17.881999999999998,,W2
QSO_176.776708-1.166167,57013.647568499975,17.814,,W2
QSO_176.776708-1.166167,57013.84455899997,18.457,,W2
QSO_176.776708-1.166167,57014.1071765,18.316,,W2
QSO_176.776708-1.166167,57182.84660856869,17.89,,W2
QSO_176.776708-1.166167,57183.10886107698,18.092,,W2
QSO_176.776708-1.166167,57183.239932581215,18.846,,W2
QSO_176.776708-1.166167,57183.305596083264,18.455,0.377,W2
QSO_176.776708-1.166167,57375.00286058789,18.614,,W2
QSO_176.776708-1.166167,57375.133895592,18.237,,W2
QSO_176.776708-1.166167,57375.26496709615,18.574,,W2
QSO_176.776708-1.166167,57375.33037509824,18.369,,W2
QSO_176.776708-1.166167,57375.33052109828,18.741,,W2
QSO_176.776708-1.166167,57375.59251810653,18.096,0.371,W2
QSO_176.776708-1.166167,57375.8546611149,18.571,0.489,W2
QSO_176.776708-1.166167,57740.0305231323,18.586,,W2
QSO_176.776708-1.166167,57740.22739453858,17.842,,W2
QSO_176.776708-1.166167,57740.35871534272,17.578,,W2
QSO_176.776708-1.166167,57740.48999954683,18.096,,W2
QSO_176.776708-1.166167,57902.524522500025,17.787,0.253,W2
QSO_176.776708-1.166167,57902.91707999997,17.788,,W2
QSO_176.776708-1.166167,57902.98248799999,18.104,,W2
QSO_176.776708-1.166167,57903.505861499965,18.285,,W2
QSO_176.776708-1.166167,58106.73994199998,18.012,,W2
QSO_176.776708-1.166167,58107.32861399997,18.796,,W2
QSO_176.776708-1.166167,58107.32872349997,18.075,,W2
QSO_176.776708-1.166167,58265.96356349998,18.757,,W2
QSO_176.776708-1.166167,58266.29060349998,18.101,,W2
QSO_176.776708-1.166167,58470.73874699998,18.519,,W2
QSO_176.776708-1.166167,58470.86941699998,17.877,,W2
QSO_176.776708-1.166167,58471.00023300001,18.661,,W2
QSO_176.776708-1.166167,58471.45794300002,18.154,,W2
QSO_176.776708-1.166167,58629.7722035,17.991,,W2
QSO_176.776708-1.166167,58630.09949900004,18.356,,W2
QSO_176.776708-1.166167,58837.354821000015,18.148,,W2
QSO_176.776708-1.166167,58837.6163435,18.032,,W2
QSO_176.776708-1.166167,58838.204614,18.306,0.376,W2
QSO_176.776708-1.166167,58994.11790199998,18.488,,W2
QSO_176.776708-1.166167,58994.24892999999,18.035,,W2
QSO_176.776708-1.166167,58994.44558180004,17.896,,W2
QSO_176.776708-1.166167,59202.19852779999,18.552,0.53,W2
QSO_176.776708-1.166167,59202.32944599999,18.101,,W2
QSO_176.776708-1.166167,59202.46047399999,18.105,,W2
QSO_176.776708-1.166167,59203.0502464,18.029,0.35,W2
QSO_176.776708-1.166167,59361.53399499997,18.327,0.403,W2
QSO_176.776708-1.166167,59361.72981750004,18.487,,W2
QSO_176.776708-1.166167,59361.92578599997,18.143,,W2
QSO_176.776708-1.166167,59361.99104800004,18.454,0.378,W2
QSO_176.776708-1.166167,59566.304688999975,18.408,,W2
QSO_176.776708-1.166167,59566.69637049997,17.839,,W2
QSO_176.776708-1.166167,59566.827077,18.13,,W2
QSO_176.776708-1.166167,59566.89233899999,17.955,,W2
QSO_176.776708-1.166167,59567.15345999999,18.221,,W2
QSO_176.776708-1.166167,59726.021097,17.904,,W2
QSO_176.776708-1.166167,59933.393583999976,18.156,,W2
QSO_176.776708-1.166167,59933.52374299998,17.875,,W2
QSO_176.776708-1.166167,59933.58878599997,18.197,0.391,W2
QSO_176.776708-1.166167,59933.71894499997,18.014,0.324,W2
QSO_176.776708-1.166167,59933.719091000006,17.88,,W2
QSO_176.776708-1.166167,59933.97944549998,17.751,,W2
QSO_176.776708-1.166167,60089.39662800003,18.235,,W2
QSO_176.776708-1.166167,60090.23992400001,18.837,,W2
QSO_176.776708-1.166167,60297.23500100002,17.755,0.318,W2
QSO_176.776708-1.166167,60297.55773400001,18.672,0.513,W2
QSO_176.776708-1.166167,60297.62171849998,18.598,,W2
QSO_176.776708-1.166167,60297.686250499966,18.269,0.375,W2
QSO_176.776708-1.166167,60297.81578899998,17.671,,W2
QSO_176.6217067-1.2767147,55359.344919000025,18.461,0.192,W1
QSO_176.6217067-1.2767147,55359.47715850003,18.397,0.164,W1
QSO_176.6217067-1.2767147,55359.6093615,18.384,0.176,W1
QSO_176.6217067-1.2767147,55359.74156449997,18.232,0.163,W1
QSO_176.6217067-1.2767147,55359.807629500014,18.58,0.21,W1
QSO_176.6217067-1.2767147,55359.80773900002,18.432,0.181,W1
QSO_176.6217067-1.2767147,55359.87380399997,18.451,0.184,W1
QSO_176.6217067-1.2767147,55359.93983249999,18.852,0.252,W1
QSO_176.6217067-1.2767147,55359.93997850001,18.309,0.168,W1
QSO_176.6217067-1.2767147,55360.006007000025,18.069,0.172,W1
QSO_176.6217067-1.2767147,55360.07203550004,18.186,0.159,W1
QSO_176.6217067-1.2767147,55360.20427499996,18.461,0.188,W1
QSO_176.6217067-1.2767147,55360.33647800002,18.318,0.174,W1
QSO_176.6217067-1.2767147,55548.34326949996,18.72,0.252,W1
QSO_176.6217067-1.2767147,55548.47547250002,18.022,0.135,W1
QSO_176.6217067-1.2767147,55548.60771200002,18.08,0.143,W1
QSO_176.6217067-1.2767147,55548.73980549999,18.115,0.143,W1
QSO_176.6217067-1.2767147,55548.87200849996,18.576,0.225,W1
QSO_176.6217067-1.2767147,55548.93803699997,18.442,0.188,W1
QSO_176.6217067-1.2767147,55549.00421150002,18.52,0.2,W1
QSO_176.6217067-1.2767147,55549.07027649997,18.825000000000003,0.261,W1
QSO_176.6217067-1.2767147,55549.20247950003,19.237,0.381,W1
QSO_176.6217067-1.2767147,55549.334573,18.391,0.213,W1
QSO_176.6217067-1.2767147,56647.50913349998,18.293,0.162,W1
QSO_176.6217067-1.2767147,56647.57501599996,18.532,0.24,W1
QSO_176.6217067-1.2767147,56647.70674449998,18.079,0.132,W1
QSO_176.6217067-1.2767147,56647.83843650004,18.02,0.264,W1
QSO_176.6217067-1.2767147,56647.90424599996,17.91,0.12,W1
QSO_176.6217067-1.2767147,56647.97001900002,18.53,0.241,W1
QSO_176.6217067-1.2767147,56648.03593800003,18.389,0.218,W1
