oid,time,magnitude,error,band
QSO_308.04164-21.233975,55310.658591000014,18.939,0.341,W1
QSO_308.04164-21.233975,55310.790793999986,18.997,,W1
QSO_308.04164-21.233975,55310.92303349999,18.96,0.291,W1
QSO_308.04164-21.233975,55311.05523649997,19.301000000000002,0.406,W1
QSO_308.04164-21.233975,55311.38581700004,18.837000000000003,0.243,W1
QSO_308.04164-21.233975,55311.51805650004,19.493000000000002,,W1
QSO_308.04164-21.233975,55311.65025950001,19.401000000000003,,W1
QSO_308.04164-21.233975,55492.86148100002,19.375999999999998,0.385,W1
QSO_308.04164-21.233975,55493.05974900004,19.266,0.339,W1
QSO_308.04164-21.233975,55493.12577749996,19.092999999999996,0.321,W1
QSO_308.04164-21.233975,55493.191842500004,19.055,0.283,W1
QSO_308.04164-21.233975,55493.258016999964,19.259,0.355,W1
QSO_308.04164-21.233975,55493.324045499976,18.747999999999998,0.217,W1
QSO_308.04164-21.233975,55493.456248500035,18.793999999999997,0.233,W1
QSO_308.04164-21.233975,56775.451087000016,19.063000000000002,0.318,W1
QSO_308.04164-21.233975,56775.582523499965,19.089999999999996,0.325,W1
QSO_308.04164-21.233975,56775.71410600003,19.151000000000003,0.33,W1
QSO_308.04164-21.233975,56775.779879,19.052999999999997,0.316,W1
QSO_308.04164-21.233975,56775.845688500005,18.267,0.25,W1
QSO_308.04164-21.233975,56775.91146149998,18.772,0.241,W1
QSO_308.04164-21.233975,56775.97727099998,19.002000000000002,0.334,W1
QSO_308.04164-21.233975,56776.04293450004,18.915999999999997,0.283,W1
QSO_308.04164-21.233975,56776.43753600003,19.101,0.335,W1
QSO_308.04164-21.233975,56954.82055499997,19.139000000000003,0.437,W1
QSO_308.04164-21.233975,56954.95202800003,18.750999999999998,0.242,W1
QSO_308.04164-21.233975,56955.0176915,18.451999999999998,0.216,W1
QSO_308.04164-21.233975,56955.08346449998,18.621000000000002,0.244,W1
QSO_308.04164-21.233975,56955.280564499975,18.655,0.223,W1
QSO_308.04164-21.233975,56955.4118915,19.04,0.315,W1
QSO_308.04164-21.233975,57137.43261362861,18.634999999999998,0.241,W1
QSO_308.04164-21.233975,57137.43272312862,19.006999999999998,0.344,W1
QSO_308.04164-21.233975,57137.49827713075,18.860999999999997,,W1
QSO_308.04164-21.233975,57313.56368613961,18.792,0.311,W1
QSO_308.04164-21.233975,57313.69475764375,18.564999999999998,0.263,W1
QSO_308.04164-21.233975,57313.89134665,19.031999999999996,0.336,W1
QSO_308.04164-21.233975,57314.153635658324,18.936999999999998,0.302,W1
QSO_308.04164-21.233975,57314.28470716247,18.576,0.219,W1
QSO_308.04164-21.233975,57501.34123658417,18.839,0.261,W1
QSO_308.04164-21.233975,57501.472667188405,18.805999999999997,0.244,W1
QSO_308.04164-21.233975,57501.60398799254,18.03,0.267,W1
QSO_308.04164-21.233975,57501.66957519455,18.63,0.205,W1
QSO_308.04164-21.233975,57675.86914730336,19.369999999999997,0.386,W1
QSO_308.04164-21.233975,57676.13160591165,18.972,0.332,W1
QSO_308.04164-21.233975,57676.26292671579,18.959000000000003,0.308,W1
QSO_308.04164-21.233975,57676.32862371788,18.832,0.257,W1
QSO_308.04164-21.233975,57676.39421091989,18.976,0.29,W1
QSO_308.04164-21.233975,57676.459798121985,18.518,0.236,W1
QSO_308.04164-21.233975,57676.591118926124,19.017000000000003,0.494,W1
QSO_308.04164-21.233975,57868.86236099996,18.609,0.218,W1
QSO_308.04164-21.233975,57868.86247049997,18.679000000000002,0.278,W1
QSO_308.04164-21.233975,57869.25506450002,18.799,0.272,W1
QSO_308.04164-21.233975,57869.32047250004,18.543,0.216,W1
QSO_308.04164-21.233975,57869.385880499976,18.997999999999998,0.357,W1
QSO_308.04164-21.233975,57869.45125199996,18.740000000000002,0.344,W1
QSO_308.04164-21.233975,57869.84384600002,18.66,0.28,W1
QSO_308.04164-21.233975,58036.840033000015,18.740000000000002,0.238,W1
QSO_308.04164-21.233975,58233.10385450003,19.055,0.372,W1
QSO_308.04164-21.233975,58233.10396400003,18.902,0.285,W1
QSO_308.04164-21.233975,58233.169262499956,18.292,0.178,W1
QSO_308.04164-21.233975,58233.43089450003,18.21,0.149,W1
QSO_308.04164-21.233975,58233.561710499984,19.141,0.365,W1
QSO_308.04164-21.233975,58396.878916499976,18.872999999999998,0.238,W1
QSO_308.04164-21.233975,58397.140402500016,18.845,0.262,W1
QSO_308.04164-21.233975,58397.20581050003,18.634999999999998,0.244,W1
QSO_308.04164-21.233975,58397.27121849997,18.705,0.22,W1
QSO_308.04164-21.233975,58397.46744250002,19.024,0.309,W1
QSO_308.04164-21.233975,58397.59814899997,18.744999999999997,0.232,W1
QSO_308.04164-21.233975,58397.59825849997,18.908,0.365,W1
QSO_308.04164-21.233975,58597.512737000005,19.207,0.391,W1
QSO_308.04164-21.233975,58760.77340449997,18.755000000000003,0.348,W1
QSO_308.04164-21.233975,58760.9042205,18.65,0.239,W1
QSO_308.04164-21.233975,58761.09978750003,18.279,0.194,W1
QSO_308.04164-21.233975,58964.27063859997,19.369,0.461,W1
QSO_308.04164-21.233975,58964.467253799994,19.051000000000002,0.359,W1
QSO_308.04164-21.233975,58964.53284100001,19.323,0.382,W1
QSO_308.04164-21.233975,58964.66390560004,19.209000000000003,0.369,W1
QSO_308.04164-21.233975,59128.31743840002,18.897,,W1
QSO_308.04164-21.233975,59128.44850299997,18.938000000000002,0.3,W1
QSO_308.04164-21.233975,59129.16930339997,18.535,0.288,W1
QSO_308.04164-21.233975,59328.71334099996,18.83,0.315,W1
QSO_308.04164-21.233975,59328.97460799999,18.55,0.206,W1
QSO_308.04164-21.233975,59329.10513199996,18.339,0.244,W1
QSO_308.04164-21.233975,59492.41730100003,18.38,0.197,W1
QSO_308.04164-21.233975,59492.54797100003,19.055,0.287,W1
QSO_308.04164-21.233975,59493.26632749999,18.646,0.207,W1
QSO_308.04164-21.233975,59695.532720000025,18.468,0.2,W1
QSO_308.04164-21.233975,59695.728433000004,18.802999999999997,0.272,W1
QSO_308.04164-21.233975,59695.793694999986,18.811,0.276,W1
QSO_308.04164-21.233975,59695.85884749997,19.058,0.33,W1
QSO_308.04164-21.233975,59695.92414599998,18.807000000000002,0.27,W1
QSO_308.04164-21.233975,59695.989407999965,18.677,0.234,W1
QSO_308.04164-21.233975,59696.11985899996,18.743000000000002,0.241,W1
QSO_308.04164-21.233975,59859.315775500014,18.637999999999998,0.2,W1
QSO_308.04164-21.233975,59859.57638550002,18.521,0.24,W1
QSO_308.04164-21.233975,59859.902148,18.863999999999997,0.29,W1
QSO_308.04164-21.233975,60059.256899000015,18.932000000000002,0.316,W1
QSO_308.04164-21.233975,60059.386692999986,18.2,0.159,W1
QSO_308.04164-21.233975,60059.64628100001,19.323999999999998,0.513,W1
QSO_308.04164-21.233975,60059.71132399999,18.616,0.227,W1
QSO_308.04164-21.233975,60059.84111799996,18.982999999999997,0.324,W1
QSO_308.04164-21.233975,60060.23050000004,18.582,0.219,W1
QSO_308.04164-21.233975,60223.23636100003,18.508,0.245,W1
QSO_308.04164-21.233975,60223.36564400001,18.42,0.245,W1
QSO_308.04164-21.233975,60223.36575350002,19.142000000000003,0.331,W1
QSO_308.04164-21.233975,60223.62435600001,18.784999999999997,0.264,W1
QSO_308.04164-21.233975,60223.62446550001,18.531,0.28,W1
QSO_308.04164-21.233975,60223.688596000015,18.694,0.236,W1
QSO_308.04164-21.233975,60223.818389999986,18.552999999999997,0.214,W1
QSO_308.04164-21.233975,60423.88111960001,19.14,0.442,W1
QSO_308.04164-21.233975,60423.945425800004,18.835,0.328,W1
QSO_308.04164-21.233975,55310.658591000014,18.466,,W2
QSO_308.04164-21.233975,55310.790793999986,18.406,0.417,W2
